Cycle	Time [s]	CoP X [cm]	CoP Y [cm]	Back Left Force [kgf]	Back Right Force [kgf]	Front Left Force [kgf]	Front Right Force [kgf]	Time Stamp [mSecs]	Low Noise Accelerometer X [m/(sec^2)]	Low Noise Accelerometer X [m/(sec^2)]	Low Noise Accelerometer Z [m/(sec^2)]	VSenseBatt [mVolts]	Gyroscope X [deg/sec]	Gyroscope Y [deg/sec]	Gyroscope Z [deg/sec]	Magnetometer X [local flux]	Magnetometer Y [local flux]	Magnetometer Z [local flux]
2293	5.732249e+01	-1.272665e+00	-4.994595e+00	4.027549e-02	-3.779874e-01	-1.006889e+00	3.143152e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2294	5.776406e+01	-9.623331e-01	-3.562336e+00	-1.006891e-01	5.107951e-02	-1.218335e+00	-6.391075e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2295	5.779600e+01	-2.235360e+00	-4.385311e+00	-1.711710e-01	-9.194279e-02	-1.359300e+00	1.676348e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2296	5.782494e+01	3.959410e-01	-4.385054e+00	4.027549e-02	-8.070547e-01	-1.006889e+00	-4.190869e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2297	5.785270e+01	-3.902404e+00	-4.727976e+00	-4.530998e-01	3.371241e-01	-1.359300e+00	5.343358e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2298	5.789242e+01	-1.270781e+00	-3.755734e+00	-1.006891e-01	-2.043164e-02	-1.288818e+00	-4.190869e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2299	5.792257e+01	-1.270781e+00	-3.755734e+00	-1.006891e-01	-2.043164e-02	-1.288818e+00	-4.190869e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2300	5.795758e+01	-1.141103e+00	-5.201818e+00	-3.121352e-01	-3.064763e-01	-7.249599e-01	9.429451e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2301	5.798814e+01	-1.174312e+00	-4.032934e+00	3.222043e-01	5.107951e-02	-1.147854e+00	-5.238585e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2302	5.801817e+01	-2.223863e+00	-3.912910e+00	-1.711710e-01	1.941018e-01	-1.359300e+00	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2303	5.804779e+01	-9.777253e-01	-4.770251e+00	3.222043e-01	-3.779874e-01	-1.077371e+00	3.143152e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2304	5.807759e+01	-2.580245e+00	-4.978267e+00	-1.711710e-01	5.107951e-02	-1.077371e+00	4.609956e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2305	5.810597e+01	-1.320256e+00	-4.102607e+00	-3.020641e-02	-2.043164e-02	-1.147854e+00	-1.990663e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2306	5.813560e+01	-1.005275e+00	-3.905376e+00	4.027549e-02	-2.043164e-02	-1.147854e+00	-3.457467e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2307	5.816464e+01	-2.154982e+00	-4.026028e+00	-3.020641e-02	5.516576e-01	-1.006889e+00	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2308	5.819286e+01	-7.743502e-01	-3.795567e+00	4.027549e-02	-2.349655e-01	-1.288818e+00	-4.190869e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2309	5.822808e+01	-8.607513e-01	-3.802385e+00	4.027549e-02	-3.779874e-01	-1.429782e+00	-3.457467e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2310	5.825715e+01	-2.227676e+00	-4.803178e+00	-7.350286e-01	-2.349655e-01	-1.147854e+00	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2311	5.828483e+01	-1.148214e+00	-4.306861e+00	1.107578e-01	-9.194279e-02	-1.077371e+00	-5.238585e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2312	5.831162e+01	-2.238235e+00	-4.274536e+00	-3.020641e-02	-1.634544e-01	-1.500265e+00	2.409750e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2313	5.833875e+01	-5.462592e-01	-4.070816e+00	4.631693e-01	-2.043164e-02	-1.006889e+00	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2314	5.836766e+01	-2.015061e-01	-3.539085e+00	3.926866e-01	1.225907e-01	-1.006889e+00	-5.657672e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2315	5.839432e+01	-1.281539e+00	-4.439988e+00	-2.416533e-01	-3.064763e-01	-1.147854e+00	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2316	5.842142e+01	-1.455311e+00	-3.945847e+00	-2.416533e-01	-9.194279e-02	-1.288818e+00	-3.457467e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2317	5.844927e+01	-2.104203e+00	-4.756829e+00	-1.006891e-01	-9.194279e-02	-1.147854e+00	3.143152e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2318	5.847882e+01	-1.412863e+00	-4.913213e+00	-2.416533e-01	-4.494986e-01	-1.077371e+00	1.676348e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2319	5.850910e+01	-1.925704e+00	-3.994545e+00	1.812401e-01	2.656130e-01	-1.218335e+00	2.095433e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2320	5.853881e+01	9.964319e-02	-4.025927e+00	4.631693e-01	-3.779874e-01	-1.077371e+00	-2.724064e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2321	5.856867e+01	-5.476068e-01	-5.118193e+00	4.027549e-02	-3.064763e-01	-6.544776e-01	9.429451e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2322	5.859857e+01	-1.409491e+00	-4.687966e+00	1.107578e-01	-2.043164e-02	-9.364069e-01	1.676348e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2323	5.862791e+01	-1.498834e+00	-3.991883e+00	2.517224e-01	1.941018e-01	-1.147854e+00	-5.238585e-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2324	5.865685e+01	-1.268223e+00	-3.956958e+00	4.027549e-02	-3.779874e-01	-1.500265e+00	-1.257260e-01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
